序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/18,營利事業捐贈收入,茂基興業股份有限公司,43833398,50000,,是,桃園縣大溪鎮
2,103/11/18,營利事業捐贈收入,桃鼎營造工程有限公司,23495193,50000,,是,桃園縣桃園市
3,103/11/12,營利事業捐贈收入,全方位管道工程有限公司,27756887,200000,,是,臺北市萬華區
4,103/11/01,營利事業捐贈收入,安葦工業有限公司,23523037,20000,,是,新北市新莊區
5,103/11/01,營利事業捐贈收入,呈茂電子有限公司,70680395,10000,,是,桃園縣蘆竹市
6,103/11/01,營利事業捐贈收入,祺煜機電工程有限公司,04260576,50000,,是,桃園縣蘆竹市
7,103/11/01,營利事業捐贈收入,臺億通運股份有限公司,22407741,12000,,是,桃園縣桃園市
8,103/10/28,營利事業捐贈收入,品嘉精實工程有限公司,53484665,10000,,是,內厝村南山路
9,103/10/24,營利事業捐贈收入,采富貿易有限公司,27976242,100000,,是,臺北市內湖區
10,103/10/24,營利事業捐贈收入,漢生建設股份有限公司,86433316,120000,,是,桃園縣蘆竹鄉
11,103/07/30,營利事業捐贈收入,科定企業股份有限公司,80214519,200000,,是,新北市泰山區
