序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/27,營利事業捐贈收入,佳豪幼兒園,67774171,10000,,是,桃園縣中壢市
2,103/11/27,營利事業捐贈收入,皇登營造有限公司,16352803,10000,,是,桃園縣平鎮市
3,103/11/20,營利事業捐贈收入,河東環保工程有限公司,12615143,100000,,是,桃園縣中壢市
4,103/11/11,營利事業捐贈收入,大桐汽車股份有限公司,43871955,30000,,是,桃園縣桃園市
5,103/11/08,營利事業捐贈收入,鼎綺國際事業有限公司,28648319,50000,,是,桃園縣中壢市
6,103/11/08,營利事業捐贈收入,豐驊建設實業有限公司,27378246,100000,,是,桃園縣中壢市
7,103/11/08,營利事業捐贈收入,泰欣通運有限公司,12778080,6000,,是,桃園縣蘆竹鄉
8,103/11/08,營利事業捐贈收入,東郅企業股份有限公司,12842409,6000,,是,桃園縣大園鄉
9,103/11/08,營利事業捐贈收入,宏順開發有限公司,53049684,10000,,是,桃園縣中壢市
10,103/11/08,營利事業捐贈收入,官夫人商行,37819117,2000,,是,桃園縣中壢市
11,103/11/08,營利事業捐贈收入,日益工程行,13564142,10000,,是,桃園縣中壢市
12,103/11/08,營利事業捐贈收入,上鵬精機有限公司,23721682,2000,,是,桃園縣中壢市
13,103/11/08,營利事業捐贈收入,兆弘興業有限公司,97392853,10000,,是,桃園縣中壢市
14,103/11/07,營利事業捐贈收入,達誠土木包工業,10621507,20000,,是,桃園縣中壢市
15,103/11/07,營利事業捐贈收入,劉國慶建築師事務所,08719645,10000,,是,桃園縣桃園市
16,103/11/05,營利事業捐贈收入,巨曄建設有限公司,28573725,100000,,是,桃園縣大園鄉
17,103/11/05,營利事業捐贈收入,安立殯葬禮儀有限公司,27491444,8000,,是,桃園縣中壢市
18,103/11/05,營利事業捐贈收入,顯茂工程有限公司,89509248,30000,,是,新北市新莊區
19,103/11/03,營利事業捐贈收入,御昌餐飲事業有限公司,28284669,5000,,是,桃園縣龍潭鄉
20,103/10/17,營利事業捐贈收入,太璞不動產經紀有限公司,53359913,20000,,是,桃園縣中壢市
21,103/10/17,營利事業捐贈收入,揚智廣告有限公司,80002199,20000,,是,桃園縣大園鄉
22,103/10/17,營利事業捐贈收入,合孚企業股份有限公司,16332531,100000,,是,桃園縣楊梅市
