序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/23,營利事業捐贈收入,板新加油站股份有限公司,23362573,20000,,是,新北市板橋區
2,103/11/14,營利事業捐贈收入,錦辰精密工業股份有限公司,22517515,20000,,是,新北市板橋區
3,103/11/05,營利事業捐贈收入,泰山氣體有限公司,22306693,30000,,是,新北市泰山區
4,103/10/25,營利事業捐贈收入,尚部有限公司,84373290,5000,,是,新北市板橋區
5,103/10/20,營利事業捐贈收入,協明化工股份有限公司,07209709,30000,,是,新北市板橋區
6,103/10/15,營利事業捐贈收入,三和企業股份有限公司,35008838,100000,,是,新北市林口區
7,103/10/03,營利事業捐贈收入,泰山氣體有限公司,22306693,30000,,是,新北市泰山區
8,103/09/05,營利事業捐贈收入,泰山氣體有限公司,22306693,30000,,是,新北市泰山區
9,103/08/19,營利事業捐贈收入,慶泰建材行,34490322,5000,,是,新北市板橋區
10,103/08/05,營利事業捐贈收入,泰山氣體有限公司,22306693,30000,,是,新北市泰山區
11,103/07/04,營利事業捐贈收入,泰山氣體有限公司,22306693,30000,,是,新北市泰山區
12,103/06/05,營利事業捐贈收入,泰山氣體有限公司,22306693,30000,,是,新北市泰山區
13,103/05/07,營利事業捐贈收入,泰山氣體有限公司,22306693,30000,,是,新北市泰山區
