序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/26,營利事業捐贈收入,震亞股份有限公司,22550817,100000,,是,高雄市左營區
2,103/11/07,營利事業捐贈收入,力強實業股份有限公司,86865398,100000,,是,臺北市中山區
3,103/10/24,營利事業捐贈收入,兆欣化學工業股份股份有限公司,16450092,100000,,是,屏東縣枋寮區
4,103/10/09,營利事業捐贈收入,南鎮天然氣股份有限公司,86689421,100000,,是,高雄市小港區
5,103/09/24,營利事業捐贈收入,合雄工業股份有限公司,81182698,20000,,是,高雄市小港區
6,103/09/15,營利事業捐贈收入,聯福資源股份有限公司,54198922,100000,,是,高雄市前鎮區
7,103/09/15,營利事業捐贈收入,大南方資源再生股份有限公司,27224616,200000,,是,臺南市麻豆區
8,103/09/15,營利事業捐贈收入,聯福資源科技有限公司,54198922,100000,,是,高雄市前鎮區
9,103/08/29,營利事業捐贈收入,崧鶴生命禮儀服務事業有限公司,53593679,10000,,是,高雄市三民區
10,103/07/22,營利事業捐贈收入,喬亞工程有限公司,28597493,100000,,是,高雄市前鎮區
11,103/07/17,營利事業捐贈收入,金鑰實業有限公司,27221202,100000,,是,高雄市三民區
12,103/07/10,營利事業捐贈收入,豐順興水產企業有限公司,28599289,200000,,是,高雄市小港區
13,103/07/03,營利事業捐贈收入,維大氧氣企業有限公司,84732802,100000,,是,高雄市三民區
14,103/07/03,營利事業捐贈收入,大昌氣體廠股份有限公司,83457980,100000,,是,高雄市小港區
15,103/06/24,營利事業捐贈收入,宏文機械有限公司,53880736,100000,,是,高雄市前鎮區
16,103/06/18,營利事業捐贈收入,鈞宏貿易有限公司,28618125,100000,,是,高雄市前鎮區
17,103/06/16,營利事業捐贈收入,承鍠企業有限公司,53237187,10000,,是,高雄市鳳山區
18,103/06/10,營利事業捐贈收入,振安營造有限公司,97156605,100000,,是,高雄市鼓山區
19,103/05/30,營利事業捐贈收入,論騰資訊科技,36911495,10000,,是,高雄市楠梓區
