序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,台灣褲子大王百貨股份有限公司,16480878,5000,,是,高雄市三民區
2,103/11/20,營利事業捐贈收入,建誌營造股份有限公司,85695234,300000,,是,高雄市苓雅區
3,103/11/20,營利事業捐贈收入,世嘜貿易有限公司,22836519,10000,,是,高雄市鼓山區
4,103/11/20,營利事業捐贈收入,高雄商旅飯店股份有限公司,28593601,50000,,是,高雄市新興區
5,103/11/14,營利事業捐贈收入,佑神電子遊戲場業股份有限公司,89411961,100000,,是,高雄市前金區
6,103/11/14,營利事業捐贈收入,漢來美食股份有限公司,80352343,100000,,是,高雄市前金區
7,103/11/14,營利事業捐贈收入,國揚實業股份有限公司,11603817,100000,,是,臺北市中山區
8,103/11/08,營利事業捐贈收入,中化興實業股份有限公司,89598234,100000,,是,臺北市松山區
9,103/11/01,營利事業捐贈收入,御宿汽車旅館楠梓館,08882131,50000,,是,高雄市楠梓區
10,103/11/01,營利事業捐贈收入,御園旅館有限公司,53892297,50000,,是,高雄市左營區
11,103/11/01,營利事業捐贈收入,御舍旅館有限公司,53900493,50000,,是,高雄市鼓山區
12,103/11/01,營利事業捐贈收入,御品旅館有限公司,24513944,50000,,是,高雄市苓雅區
13,103/11/01,營利事業捐贈收入,真饌食品行,98721404,100000,,是,高雄市三民區
14,103/10/31,營利事業捐贈收入,高仰貿易有限公司,28288665,200000,,是,高雄市新興區
15,103/10/31,營利事業捐贈收入,柏文健康事業股份有限公司,27693238,100000,,是,高雄市左營區
16,103/10/24,營利事業捐贈收入,聯上實業股份有限公司,16126477,100000,,是,高雄市左營區
17,103/10/16,營利事業捐贈收入,玉豐水果行,73928815,10000,,是,高雄市鼓山區
18,103/10/05,營利事業捐贈收入,美科達股份有限公司,27857175,100000,,是,高雄市鼓山區
19,103/11/08,營利事業捐贈收入,至安重工有限公司,22261886,100000,,是,高雄市鳳山區
20,103/11/08,營利事業捐贈收入,東林家飾精品有限公司,89428301,10000,,是,高雄市烏松區
21,103/11/08,營利事業捐贈收入,剛健鋼鐵工業股份有限公司,83449700,20000,,是,高雄市前鎮區
22,103/11/08,營利事業捐贈收入,中路鋼鐵股份有限公司,84319260,100000,,是,高雄市鼓山區
23,103/11/08,營利事業捐贈收入,和生開發有限公司,27687411,100000,,是,高雄市苓雅區
24,103/11/08,營利事業捐贈收入,華勁投資股份有限公司,97146136,100000,,是,金門縣金沙鎮
25,103/11/06,營利事業捐贈收入,尚承鋼鐵股份有限公司,27208480,100000,,是,高雄市小港區
26,103/11/05,營利事業捐贈收入,尚興鋼鐵工業股份有限公司,85655752,100000,,是,高雄市仁武區
27,103/11/04,營利事業捐贈收入,建鍠企業有限公司,28299797,100000,,是,高雄市大社區
28,103/11/04,營利事業捐贈收入,立台基工程有限公司,13142729,10000,,是,高雄市鹽埕區
29,103/11/01,營利事業捐贈收入,阜田開發建設有限公司,27207145,200000,,是,明華路號樓
30,103/10/28,營利事業捐贈收入,乙錩機械工程有限公司,22250229,100000,,是,高雄市小港區
31,103/10/15,營利事業捐贈收入,田德交通有限公司,89415354,200000,,是,高雄市小港區
32,103/10/08,營利事業捐贈收入,人杰老四川餐飲管理顧問股份有限公司,28836494,200000,,是,高雄市左營區
33,103/10/08,營利事業捐贈收入,高鋒工業股份有限公司,55857746,600000,,是,臺中市大雅區
