序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
41,103/10/21,營利事業捐贈收入,金寶麗企業有限公司,28164714,20000,,是,臺中市東區長
42,103/10/19,營利事業捐贈收入,日詎股份有限公司,12683492,120000,,是,臺中市沙鹿區
43,103/10/15,營利事業捐贈收入,祐晟加油站股份有限公司,86999185,50000,,是,臺中市大里區
44,103/10/15,營利事業捐贈收入,安頌液壓工業股份有限公司,52906884,100000,,是,臺中市霧峰區
45,103/10/13,營利事業捐贈收入,弘達儀器股份有限公司,52438046,50000,,是,臺中市西屯區
46,103/10/06,營利事業捐贈收入,大鐺鑄造有限公司,23241760,60000,,是,臺中市霧峰區
47,103/10/04,營利事業捐贈收入,森偉工業有限公司,52869282,10000,,是,臺中市南區工
48,103/10/04,營利事業捐贈收入,全乙實業有限公司,22126307,30000,,是,臺中市東區進
49,103/10/04,營利事業捐贈收入,瓏昇實業有限公司,55891961,50000,,是,臺中市大里區
50,103/10/03,營利事業捐贈收入,瑩久企業股份有限公司,52862197,100000,,是,臺中市西區中
51,103/09/26,營利事業捐贈收入,百昱建設股份有限公司,27382282,200000,,是,臺中市大里區
52,103/09/11,營利事業捐贈收入,祚榮投資有限公司,80734552,100000,,是,臺中市西區民
53,103/09/11,營利事業捐贈收入,總太建設開發股份有限公司,84214879,100000,,是,臺中市西區民
54,103/09/02,營利事業捐贈收入,登仰建設有限公司,27667225,100000,,是,臺中市南屯區
55,103/08/19,營利事業捐贈收入,總立工程股份有限公司,86594635,20000,,是,臺中市南屯區
56,103/07/02,營利事業捐贈收入,松祐金屬工業有限公司,86198261,20000,,是,臺中市台平區
57,103/07/01,營利事業捐贈收入,松祐金屬工業有限公司,86198261,80000,,是,宜欣里仁和街
58,103/06/18,營利事業捐贈收入,昭盛52行館,24677100,20000,,是,臺中市西區忠
