序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/26,營利事業捐贈收入,皇東不動產經紀股份有限公司,97262916,10000,,是,臺中市大里區
2,103/11/18,營利事業捐贈收入,旭田興有限公司,27429499,10000,,是,臺中市大里區
3,103/11/03,營利事業捐贈收入,內新商場企業有限公司,25156697,1000,,是,臺中市大里區
4,103/11/03,營利事業捐贈收入,光榮工業股份有限公司,51272200,100000,,是,臺中市大里區
5,103/10/25,營利事業捐贈收入,聖岱實業股份有限公司,52359014,100000,,是,臺中市大里區
6,103/10/22,營利事業捐贈收入,高峰工業股份有限公司,55857746,100000,,是,臺中市大雅區
7,103/10/20,營利事業捐贈收入,鐞崴工業股份有限公司,22575872,30000,,是,臺中市大里區
8,103/10/11,營利事業捐贈收入,里祥曠冶科技有限公司,16932232,10000,,是,臺中市大里區
9,103/10/06,營利事業捐贈收入,詠貿塑膠有限公司,22560391,6000,,是,臺中市南屯區
10,103/09/15,營利事業捐贈收入,首鋼實業股份有限公司,86072495,30000,,是,臺中市大里區
11,103/07/28,營利事業捐贈收入,泉耀實業股份有限公司,15995259,100000,,是,臺中市南港區
12,103/06/24,營利事業捐贈收入,正乙石材有限公司,55741393,10000,,是,臺中市大里區
13,103/06/19,營利事業捐贈收入,永祺車業股份有限公司,23182930,50000,,是,臺中市太平區
