序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/06,營利事業捐贈收入,鼎宇建設股份有限公司,86442286,50000,,是,高雄市前鎮區
2,103/10/29,營利事業捐贈收入,大眾廣播股份有限公司,89256721,30000,,是,高雄市前鎮區
3,103/10/22,營利事業捐贈收入,元加欣企業有限公司,28160581,100000,,是,高雄市三民區
4,103/10/22,營利事業捐贈收入,冠傑建設開發有限公司,29023621,30000,,是,高雄市鼓山區
5,103/10/22,營利事業捐贈收入,新堀江建設股份有限公司,89430881,30000,,是,高雄市三民區
6,103/10/22,營利事業捐贈收入,大展呢絨行,79879875,20000,,是,高雄市鹽埕區
7,103/10/21,營利事業捐贈收入,春德投資股份有限公司,53337377,100000,,是,臺北市松山區
8,103/10/21,營利事業捐贈收入,永通投資股份有限公司,84703428,200000,,是,臺北市松山區
9,103/10/20,營利事業捐贈收入,高雄鐘錶股份有限公司,22257644,20000,,是,高雄市鹽埕區
10,103/10/20,營利事業捐贈收入,懋銓鋼鐵有限公司,89408282,50000,,是,高雄市大寮區
11,103/10/16,營利事業捐贈收入,芳崗建設有限公司,16813221,300000,,是,高雄市三民區
12,103/10/15,營利事業捐贈收入,昱暐工業股份有限公司,22387344,20000,,是,
13,103/10/15,營利事業捐贈收入,三泰醫院,76200703,50000,,是,高雄市鼓山區
14,103/10/15,營利事業捐贈收入,芳崗建設有限公司,16813221,300000,,是,高雄市三民區
15,103/10/15,營利事業捐贈收入,春天不動產仲介經紀有限公司,13148266,200000,,是,高雄市鼓山區
16,103/10/15,營利事業捐贈收入,勤深耕不動產經紀有限公司,13185971,300000,,是,高雄市新興區
17,103/10/14,營利事業捐贈收入,世鎧精密股份有限公司,86637206,200000,,是,高雄市岡山區
18,103/10/14,營利事業捐贈收入,住友水產股份有限公司,27687067,100000,,是,高雄市前鎮區
19,103/10/11,營利事業捐贈收入,唯靖貿易有限公司,23338482,10000,,是,高雄市鹽埕區
20,103/10/09,營利事業捐贈收入,統領健身企業有限公司,23337836,10000,,是,
21,103/10/06,營利事業捐贈收入,榮璋工業股份有限公司,23636068,100000,,是,高雄市路竹區
22,103/09/26,營利事業捐贈收入,宏通報關有限公司,24516554,20000,,是,高雄市苓雅區
23,103/09/19,營利事業捐贈收入,睦工場,24524034,20000,,是,
