序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,維義事業股份有限公司,84947629,2000,,是,高雄市仁武區
2,103/11/17,營利事業捐贈收入,高雄市小港區漁會漁船加油站,08934068,60000,,是,高雄市小港區
3,103/11/14,營利事業捐贈收入,寒軒企業股份有限公司,86449648,100000,,是,高雄市苓雅區
4,103/11/13,營利事業捐贈收入,佑神電子遊戲場業股份有限公司,89311961,100000,,是,高雄市前金區
5,103/11/13,營利事業捐贈收入,漢神名店百貨股份有限公司,23827290,100000,,是,高雄市前金區
6,103/11/12,營利事業捐贈收入,信用國際通運股份有限公司,83397055,50000,,是,高雄市前金區
7,103/11/11,營利事業捐贈收入,祥麒事業有限公司,28287407,100000,,是,高雄市小港區
8,103/11/10,營利事業捐贈收入,崑郡建設股份有限公司,13199573,100000,,是,高雄市左營區
9,103/11/03,營利事業捐贈收入,利紳科技股份有限公司,13168760,30000,,是,
10,103/10/31,營利事業捐贈收入,太平洋建設股份有限公司,11099009,100000,,是,臺北市忠孝東
11,103/10/30,營利事業捐贈收入,中化興實業股份有限公司,89598234,100000,,是,臺北市松山區
12,103/10/29,營利事業捐贈收入,奉善化投資有限公司,53894561,100000,,是,高雄市小港區
13,103/10/15,營利事業捐贈收入,南鎮天然氣股份有限公司,86689421,100000,,是,高雄市小港區
14,103/10/13,營利事業捐贈收入,穩晉港灣工程股份有限公司,22095304,100000,,是,高雄市小港區
15,103/09/24,營利事業捐贈收入,昕農股份有限公司,81177837,12000,,是,高雄市小港區
16,103/09/20,營利事業捐贈收入,永覲工業股份有限公司,22536674,200000,,是,高雄市小港區
17,103/09/19,營利事業捐贈收入,皇家可口股份有限公司,22265497,100000,,是,臺北市懷寧街
18,103/09/15,營利事業捐贈收入,凱華登建設有限公司,29020130,200000,,是,高雄市左營區
