序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/27,營利事業捐贈收入,聲寶股份有限公司,03607500,1000000,,是,桃園縣龜山鄉
2,103/11/24,營利事業捐贈收入,崇祐印染公司,23873435,10000,,是,新北市林口區
3,103/11/20,營利事業捐贈收入,聖龍金屬表面處理有限公司,36284207,30000,,是,新北市五股區
4,103/11/18,營利事業捐贈收入,伊利豐實業有限公司,53194743,100000,,是,新北市林口區
5,103/11/14,營利事業捐贈收入,竹城建設股份有限公司,97127855,200000,,是,臺北市內湖區
6,103/11/08,營利事業捐贈收入,城洲廣告股份有限公司,28875622,36000,,是,新北市林口區
7,103/11/07,營利事業捐贈收入,台灣歐德傢俱股份有限公司,70394175,30000,,是,新北市林口區
8,103/11/06,營利事業捐贈收入,顯隆機械股份有限公司,36352112,200000,,是,新北市五股區
9,103/11/05,營利事業捐贈收入,順盛工業股份有限公司,35409003,50000,,是,新北市新莊區
10,103/10/31,營利事業捐贈收入,長虹建設股份有限公司,04633597,300000,,是,臺北市中正區
11,103/10/30,營利事業捐贈收入,鴻圖營造工程有限公司,89657752,100000,,是,新北市林口區
12,103/10/23,營利事業捐贈收入,詠勝開發營造股份有限公司,86342287,66000,,是,新北市板橋區
13,103/10/21,營利事業捐贈收入,福原木材廠股份有限公司,96858516,50000,,是,新北市林口區
14,103/10/17,營利事業捐贈收入,二十一世紀不動產股份有限公司,16085861,30000,,是,桃園縣蘆竹鄉
15,103/10/13,營利事業捐贈收入,家亨不動產經濟有限公司,28776469,300000,,是,新北市五股區
16,103/10/13,營利事業捐贈收入,吉祥工業股份有限公司,33098314,200000,,是,新北市林口區
17,103/10/12,營利事業捐贈收入,鋁祥發實業有限公司,97236050,50000,,是,新北市林口區
18,103/10/12,營利事業捐贈收入,鋒泉螺釘股份有限公司,31334805,20000,,是,文化二路二段
19,103/10/11,營利事業捐贈收入,昶捷物流股份有限公司,16161564,300000,,是,新北市林口區
20,103/10/10,營利事業捐贈收入,君邑建設有限公司,28393955,60000,,是,桃園縣桃園市
21,103/10/07,營利事業捐贈收入,一語堂國際貿易有限公司,23130552,50000,,是,新北市林口區
22,103/08/18,營利事業捐贈收入,松聯營造股份有限公司,84432586,100000,,是,臺北市大同路
23,103/08/18,營利事業捐贈收入,台灣威化企業有限公司,02082674,100000,,是,新北市新莊區
