序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/10/27,營利事業捐贈收入,家柱企業有限公司,53365226,100000,,是,基隆市暖暖區
2,103/10/23,營利事業捐贈收入,三禾發股份有限公司,28360201,100000,,是,基隆市暖暖區
3,103/10/23,營利事業捐贈收入,立煜企業股份有限公司,39173205,50000,,是,新北市瑞芳區
4,103/10/23,營利事業捐贈收入,三禾倉儲股份有限公司,22890409,50000,,是,基隆市暖暖區
5,103/10/01,營利事業捐贈收入,穩懋半導體股份有限公司,70752257,500000,,是,桃園縣龜山鄉
6,103/08/05,營利事業捐贈收入,泉昌五金有限公司,00199184,30000,,是,
7,103/07/24,營利事業捐贈收入,誠城有限公司,84184333,150000,,是,基隆市暖暖區
8,103/07/24,營利事業捐贈收入,承裕工業社,13555707,20000,,是,
9,103/07/24,營利事業捐贈收入,日中有限公司,04832934,30000,,是,
10,103/06/06,營利事業捐贈收入,大安聯合消防股份有限公司,16430337,20000,,是,
