序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/25,營利事業捐贈收入,巨匠建設事業有限公司,84237508,8601,,是,臺中市北區太
2,103/11/25,營利事業捐贈收入,亞都營造股份有限公司,33820795,8601,,是,臺中市北屯區
3,103/11/25,營利事業捐贈收入,宏銓建設股份有限公司,86354369,6451,,是,臺中市華美街
4,103/11/25,營利事業捐贈收入,鴻邑建設有限公司,24397608,6451,,是,臺中市西區大
5,103/11/25,營利事業捐贈收入,里禾廣告有限公司,27432430,6452,,是,臺中市西區英
6,103/11/25,營利事業捐贈收入,東霙營造股份有限公司,23851093,6452,,是,臺中市南屯區
7,103/11/25,營利事業捐贈收入,久樘開發股份有限公司,23116313,6452,,是,臺中市神岡區
8,103/11/25,營利事業捐贈收入,新業建設股份有限公司,70517367,6452,,是,臺中市西屯區
9,103/11/25,營利事業捐贈收入,惠昇建設股份有限公司,80077888,6452,,是,臺中市西區英
10,103/11/25,營利事業捐贈收入,太子建設開發股份有限公司,72058206,8602,,是,臺南市永康區
11,103/11/20,營利事業捐贈收入,油順精密股份有限公司,08005598,80000,,是,臺中市大里區
12,103/11/20,營利事業捐贈收入,好溫馨企業有限公司,53883115,66000,,是,高雄市左營區
13,103/11/10,營利事業捐贈收入,赤鬼國際股份有限公司,53051490,200000,,是,臺中市北屯區
14,103/11/07,營利事業捐贈收入,裕來實業股份有限公司,89234179,200000,,是,臺中市北屯區
15,103/10/29,營利事業捐贈收入,楊記投資股份有限公司,16234258,150000,,是,臺中市沙鹿區
16,103/10/28,營利事業捐贈收入,山根有限公司,53291219,100000,,是,臺中市西屯區
17,103/10/21,營利事業捐贈收入,順捷股份有限公司,97566707,100000,,是,臺中市大雅區
18,103/10/21,營利事業捐贈收入,富明國際開發有限公司,28391372,200000,,是,臺中市西屯區
19,103/10/20,營利事業捐贈收入,中龍加油站股份有限公司,25005137,32000,,是,臺中市龍井區
20,103/10/18,營利事業捐贈收入,鼎隆國際商業有限公司,13037064,50000,,是,臺中市西屯區
21,103/10/17,營利事業捐贈收入,順興五金行,05592382,10000,,是,臺中市西屯區
22,103/10/17,營利事業捐贈收入,天川食品有限公司,28061082,50000,,是,臺中市北區漢
23,103/10/17,營利事業捐贈收入,元手有限公司,25003736,50000,,是,臺中市西屯區
24,103/10/16,營利事業捐贈收入,裕國冷凍冷藏股份有限公司,23641978,200000,,是,臺中市西屯區
25,103/10/15,營利事業捐贈收入,林鼎實業股份有限公司,23471880,100000,,是,臺中市西區台
26,103/10/15,營利事業捐贈收入,理和建設股份有限公司,89231790,100000,,是,臺中市西屯區
27,103/10/15,營利事業捐贈收入,理和建設股份有限公司,89231790,300000,,是,臺中市西屯區
28,103/10/14,營利事業捐贈收入,祥普建設股份有限公司,86197489,20000,,是,臺中市東區自
29,103/10/14,營利事業捐贈收入,弘隆環保服務有限公司,28501878,50000,,是,臺中市西屯區
30,103/10/13,營利事業捐贈收入,讚成企業有限公司,23798513,30000,,是,臺中市北區賴
31,103/10/07,營利事業捐贈收入,龍寶建設股份有限公司,23179610,200000,,是,臺中市北區館
32,103/10/06,營利事業捐贈收入,心月旅館股份有限公司,24239284,100000,,是,臺中市西屯區
33,103/10/02,營利事業捐贈收入,群祐機械股份有限公司,86968182,50000,,是,臺中市南屯區
34,103/09/10,營利事業捐贈收入,富聚開發有限公司,54104164,100000,,是,臺中市西屯區
35,103/09/10,營利事業捐贈收入,祚榮投資有限公司,80734552,100000,,是,臺中市西區民
36,103/09/10,營利事業捐贈收入,總太建設開發股份有限公司,84214879,100000,,是,臺中市西區民
37,103/08/27,營利事業捐贈收入,由鉅建設股份有限公司,52934853,200000,,是,臺中市西屯忠
38,103/07/17,營利事業捐贈收入,達瞬企業有限公司,,50000,,是,臺中市龍井區
