序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,富川投資股份有限公司,12981464,100000,,是,臺北市文山區
2,103/11/28,營利事業捐贈收入,科定企業股份有限公司,80214519,50000,,是,新北市新莊區
3,103/11/27,營利事業捐贈收入,洲定投資有限公司,54033226,100000,,是,新北市新莊區
4,103/11/24,營利事業捐贈收入,川富科技開發股份有限公司,81086436,5000,,是,臺北市松山區
5,103/11/20,營利事業捐贈收入,晉偉工程有限公司,16983560,100000,,是,新北市林口區
6,103/11/20,營利事業捐贈收入,洺洋實業股份有限公司,53524028,10000,,是,臺北市北投區
7,103/11/20,營利事業捐贈收入,祥德汽車貨運股份有限公司,07724424,100000,,是,新北市新莊區
8,103/11/20,營利事業捐贈收入,鋯鋒研磨車刀耐磨鎢鋼工具製品企業股,36220437,50000,,是,新北市新莊區
9,103/11/20,營利事業捐贈收入,捷宏工程有限公司,54231892,100000,,是,桃園縣桃園市
10,103/11/20,營利事業捐贈收入,華豐通信機械股份有限公司,03444302,20000,,是,新北市新莊區
11,103/11/05,營利事業捐贈收入,天平企業有限公司,22790963,100000,,是,新北市新莊區
12,103/11/05,營利事業捐贈收入,台灣大車隊(股)公司,27767961,200000,,是,新北市三重區
13,103/11/05,營利事業捐贈收入,昇輝車體廣告有限公司,89375796,50000,,是,新北市新莊區
14,103/10/19,營利事業捐贈收入,鉅山大理石有限公司,28627264,2000,,是,新北市泰山區
15,103/10/19,營利事業捐贈收入,運成工業有限公司,22396646,2000,,是,新北市新莊區
16,103/10/19,營利事業捐贈收入,鋯鋒研磨車刀耐磨鎢鋼工具製品企業股,36220437,10000,,是,新北市新莊區
17,103/10/19,營利事業捐贈收入,順鑫車業有限公司,24384168,10000,,是,臺北市大同區
18,103/10/19,營利事業捐贈收入,微創系統股份有限公司,97380890,20000,,是,新北市中和區
19,103/10/19,營利事業捐贈收入,永成裕興業有限公司,54708100,10000,,是,新北市林口區
20,103/10/19,營利事業捐贈收入,紅博科技股份有限公司,24552827,2000,,是,臺北市安和路
