序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/21,營利事業捐贈收入,高永建設股份有限公司,89763830,50000,,是,高雄市苓雅區
2,103/11/21,營利事業捐贈收入,漢來美時股份有限公司,80352343,100000,,是,高雄市前金區
3,103/11/21,營利事業捐贈收入,漢神名店百貨股份有限公司,23827290,100000,,是,高雄市前金區
4,103/11/20,營利事業捐贈收入,高永建設股份有限公司,89763830,100000,,是,高雄市苓雅區
5,103/11/12,營利事業捐贈收入,佑神電子遊戲場業股份有限公司,89411961,100000,,是,高雄市苓雅區
6,103/11/12,營利事業捐贈收入,漢來國際飯店股份有限公司,23827284,100000,,是,高雄市前金區
7,103/11/12,營利事業捐贈收入,國揚實業股份股份有限公司,11603817,100000,,是,臺北市中山區
8,103/11/06,營利事業捐贈收入,威泰鋼鐵股份有限公司,86449859,100000,,是,高雄市小港區
9,103/11/03,營利事業捐贈收入,慶益建設股份有限公司,28330235,50000,,是,高雄市鳳山區
10,103/11/03,營利事業捐贈收入,台陽營造股份有限公司,49680996,50000,,是,高雄市苓雅區
11,103/10/23,營利事業捐贈收入,中化興實業股份有限公司,89598234,100000,,是,臺北市松山區
12,103/10/23,營利事業捐贈收入,剛健鋼鐵工業股份有限公司,83449700,30000,,是,高雄市前鎮區
13,103/10/22,營利事業捐贈收入,順升昌企業股份有限公司,84431670,20000,,是,高雄市大社區
14,103/10/17,營利事業捐贈收入,東林家飾精品有限公司,89428301,10000,,是,高雄市鳥松區
