序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/27,營利事業捐贈收入,伯妮創新國際有限公司,28060767,30000,,是,新北市新莊區
2,103/11/27,營利事業捐贈收入,亞世佳食品股份有限公司,16938714,20000,,是,雲林縣斗六工
3,103/10/20,營利事業捐贈收入,青新環境工程股份有限公司,16952840,300000,,是,雲林縣元長鄉
4,103/09/26,營利事業捐贈收入,中工機械股份有限公司,97170064,100000,,是,高雄市苓雅區
5,103/09/12,營利事業捐贈收入,金漢妮旅社,96938883,10000,,是,台北市中山區
6,103/09/11,營利事業捐贈收入,伯展旅行社,24540007,20000,,是,台北市中山區
7,103/08/26,營利事業捐贈收入,欣天成股份有限公司,16382026,10000,,是,中山北路一段
8,103/07/04,營利事業捐贈收入,金氏鋼鐵股份有限公司,86439971,100000,,是,高雄市中正路
9,103/07/04,營利事業捐贈收入,金氏科技股份有限公司,97413007,100000,,是,高雄市中正三
10,103/06/19,營利事業捐贈收入,萬安國際股份有限公司,96926373,150000,,是,台北市中山區
