序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,大煒塑膠工業股份有限公司,23514327,33270,,否,南投縣草屯鎮
2,103/11/19,營利事業捐贈收入,安程企業有限公司,86356227,20000,,是,彰化縣彰化市
3,103/11/18,營利事業捐贈收入,線展實業有限公司,97348864,500000,,是,南投縣草屯鎮
4,103/11/18,營利事業捐贈收入,緞興實業有限公司,97076167,500000,,是,南投縣草屯鎮
5,103/11/10,營利事業捐贈收入,訊映光電股份有限公司,27453928,100000,,是,新竹市公道五
6,103/11/05,營利事業捐贈收入,承旺有限公司,86655610,100000,,是,南投縣草屯鎮
7,103/11/04,營利事業捐贈收入,合光機工業有限公司,06034386,10000,,是,南投縣草屯鎮
8,103/11/01,營利事業捐贈收入,生發生物科技有限公司,13069369,10000,,是,彰化縣芬園鄉
9,103/11/01,營利事業捐贈收入,飾鴻實業有限公司,86339608,200000,,是,南投縣草屯鎮
10,103/11/01,營利事業捐贈收入,群大企業有限公司,86194906,5000,,是,彰化縣彰化市
11,103/11/01,營利事業捐贈收入,竹興酒莊,13954042,3600,,是,彰化縣芬園鄉
12,103/11/01,營利事業捐贈收入,文華書局,61941763,3200,,是,南投縣草屯鎮
13,103/10/30,營利事業捐贈收入,百業興有限公司,13025291,6000,,是,南投縣草屯鎮
14,103/10/30,營利事業捐贈收入,廣欣水電材料有限公司,89851854,10000,,是,南投縣草屯鎮
15,103/09/11,營利事業捐贈收入,金福華食品貿易有限公司,12732780,100000,,是,台中市東區東
16,103/09/05,營利事業捐贈收入,紅堡建設有限公司,25159651,200000,,是,台中市西區公
17,103/09/04,營利事業捐贈收入,伊塔國際有限公司,53158866,10000,,是,南投縣草屯鎮
