序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,鴻興發科技有限公司,28593222,100000,,是,高雄市苓雅區
2,103/11/25,營利事業捐贈收入,大台北商用不動產開發股份有限公司,16763030,20000,,是,新北市新莊區
3,103/11/13,營利事業捐贈收入,宏普建設股份有限公司,23113054,300000,,是,臺北市大同區
4,103/11/13,營利事業捐贈收入,岐伯齋中醫診所,34942542,50000,,是,新北市新店區
5,103/11/12,營利事業捐贈收入,吳非士建築師事務所,04176515,100000,,是,民權東路三段
6,103/10/28,營利事業捐贈收入,翔譽國際建設股份有限公司,27960157,500000,,是,臺北市中正路
7,103/10/20,營利事業捐贈收入,信華毛紡股份有限公司,35531102,200000,,是,臺北市中山路
8,103/10/20,營利事業捐贈收入,磐亞股份有限公司,05712099,500000,,是,臺北市中正路
9,103/10/09,營利事業捐贈收入,尚華創意廣告有限公司,54039072,500000,,是,新北市泰山區
10,103/09/05,營利事業捐贈收入,新潤建設股份有限公司,28490128,600000,,是,臺北市中山路
11,103/09/05,營利事業捐贈收入,新潤興業股份有限公司,16318881,900000,,是,臺北市基隆路
12,103/08/13,營利事業捐贈收入,葆丞工程有限公司,16701464,500000,,是,新北市板橋區
