序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/25,營利事業捐贈收入,鴻邑建設有限公司,24397608,6451,,是,臺中市西區大
2,103/11/25,營利事業捐贈收入,宏銓建設股份有限公司,86354369,6451,,是,臺中市西區華
3,103/11/25,營利事業捐贈收入,里禾廣告有限公司,27432430,6451,,是,臺中市西區英
4,103/11/25,營利事業捐贈收入,東霙營造股份有限公司,23851093,6452,,是,臺中市南屯區
5,103/11/25,營利事業捐贈收入,亞都營造股份有限公司,33820795,8602,,是,臺中市北屯區
6,103/11/25,營利事業捐贈收入,新業建設股份有限公司,70517367,6451,,是,臺中市西屯區
7,103/11/25,營利事業捐贈收入,久樘開發股份有限公司,23116313,6452,,是,臺中市神岡區
8,103/11/25,營利事業捐贈收入,太子建設開發股份有限公司,72058206,8602,,是,臺中市永康區
9,103/11/25,營利事業捐贈收入,巨匠建設事業有限公司,84237508,8602,,是,臺中市北區太
10,103/11/25,營利事業捐贈收入,惠昇建設股份有限公司,80077888,6451,,是,臺中市西區英
11,103/11/10,營利事業捐贈收入,惠友建設股份有限公司,80244112,30000,,是,臺中市西區美
12,103/11/04,營利事業捐贈收入,大晟營造股份有限公司,86255706,100000,,是,臺中市西屯區
13,103/11/01,營利事業捐贈收入,日詎股份有限公司,12683492,120000,,是,臺中市沙鹿區
14,103/11/01,營利事業捐贈收入,樺琦屋有限公司,24405142,5000,,是,臺中市南屯區
15,103/11/01,營利事業捐贈收入,華成百貨企業有限公司,12725351,5000,,是,臺中市北屯區
16,103/11/01,營利事業捐贈收入,信之友有限公司,27518083,5000,,是,臺中市北區民
17,103/11/01,營利事業捐贈收入,安美潔有限公司,80245560,20000,,是,臺中市南屯區
18,103/10/31,營利事業捐贈收入,上海灘飲食店,17190742,6600,,是,臺中市南屯區
19,103/10/31,營利事業捐贈收入,永進木器廠股份有限公司,51206103,200000,,是,臺中市西區柳
20,103/10/31,營利事業捐贈收入,中鐵實業有限公司,97385348,50000,,是,臺中市西屯區
21,103/10/31,營利事業捐贈收入,聯準生技國際有限公司,28518619,10000,,是,臺中市西區臺
22,103/10/30,營利事業捐贈收入,新英機械廠股份有限公司,52456493,100000,,是,臺中市西屯區
23,103/10/28,營利事業捐贈收入,必捷吊車有限公司,86756173,30000,,是,臺中市南屯區
24,103/10/23,營利事業捐贈收入,北長建設有限公司,53058965,10000,,是,臺中市西區自
25,103/10/13,營利事業捐贈收入,綠邦食品生技股份有限公司,22960586,20000,,是,臺中市北屯區
26,103/10/13,營利事業捐贈收入,凱悅彈簧有限公司,23093108,6000,,是,臺中市南屯區
27,103/10/07,營利事業捐贈收入,三銀精密工業股份有限公司,86087700,60000,,是,臺中市潭子區
28,103/10/06,營利事業捐贈收入,群祐機械股份有限公司,86968182,20000,,是,臺中市南屯區
29,103/10/06,營利事業捐贈收入,慧聰電機有限公司,52666955,25000,,是,臺中市北屯區
30,103/10/03,營利事業捐贈收入,天月人文休閒旅館股份有限公司,27611709,150000,,是,臺中市西屯區
31,103/09/19,營利事業捐贈收入,廣奕建設股份有限公司,80135542,20000,,是,臺中市南區西
32,103/09/16,營利事業捐贈收入,由鉅建設股份有限公司,52934853,50000,,是,臺中市西區忠
33,103/09/12,營利事業捐贈收入,三閣工程有限公司,24287428,12000,,是,臺中市南屯區
34,103/09/09,營利事業捐贈收入,登仰建設有限公司,27667225,100000,,是,臺中市大里區
35,103/09/04,營利事業捐贈收入,賽那美育樂開發股份有限公司,53659735,39000,,是,臺中市梧棲區
36,103/07/03,營利事業捐贈收入,台灣基礎開發科技股份有限公司,12726274,100000,,是,臺中市大里區
