序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/09/17,營利事業捐贈收入,東境室內裝修有限公司,80580607,10000,,是,新北市板橋區
2,103/09/17,營利事業捐贈收入,和泰興開發實業有限公司,27549570,10000,,是,臺北市信義區
3,103/09/19,營利事業捐贈收入,富王百貨育樂股份有限公司,22377887,100000,,是,臺中市北屯區
4,103/10/20,營利事業捐贈收入,國介企業有限公司,23339975,10000,,是,臺中市西屯區
5,103/10/20,營利事業捐贈收入,國介企業有限公司,23339975,50000,,是,臺中市西屯區
6,103/10/21,營利事業捐贈收入,富士康公寓大廈管理維護股份有限公司,24266280,20000,,是,臺中市西區東
7,103/10/21,營利事業捐贈收入,龍寶建設股份有限公司,23179610,50000,,是,臺中市北區館
8,103/10/21,營利事業捐贈收入,九聯天然石片材料股份有限公司,86965875,50000,,是,臺中市北屯區
9,103/10/21,營利事業捐贈收入,碩豐開發建設有限公司,53983521,200000,,是,臺中市西區臺
10,103/10/25,營利事業捐贈收入,聯宇工程顧問有限公司,24599105,4000,,是,臺中市西屯區
11,103/10/27,營利事業捐贈收入,春耕不動產經紀股份有限公司,80231714,20000,,是,臺中市西屯區
12,103/10/28,營利事業捐贈收入,大業開發工業股份有限公司,16786890,100000,,是,台中市東區東
13,103/10/30,營利事業捐贈收入,頂尖室內裝修工程有限公司,28337244,10000,,是,臺中市北屯區
14,103/10/30,營利事業捐贈收入,鴻海保全股份有限公司,28899650,10000,,是,臺中市西區中
15,103/10/30,營利事業捐贈收入,冠昀企業股份有限公司,16216792,20000,,是,臺中市西區東
16,103/10/30,營利事業捐贈收入,耀盟有限公司,80744019,10000,,是,臺中市烏日區
17,103/11/03,營利事業捐贈收入,向鴻國際有限公司,53380248,4000,,是,臺中市北屯區
18,103/11/06,營利事業捐贈收入,福華明鏡股份有限公司,58580218,10000,,是,彰化縣福興鄉
19,103/11/28,營利事業捐贈收入,天健投資(股)公司,16353232,36000,,是,臺中市西屯區
20,103/11/28,營利事業捐贈收入,鉑原企業有限公司,86831187,10000,,是,臺中市大雅區
