序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/21,營利事業捐贈收入,奇煒企業股份有限公司,89753262,20000,,是,高雄市大寮區
2,103/11/21,營利事業捐贈收入,大展呢絨行,79879875,20000,,是,高雄市鹽埕區
3,103/11/18,營利事業捐贈收入,新泉營造股份有限公司,85739583,200000,,是,高雄市大樹區
4,103/11/17,營利事業捐贈收入,華民鋼鐵股份有限公司,22539898,50000,,是,高雄市前鎮區
5,103/11/17,營利事業捐贈收入,冒盛國際股份有限公司,27219894,66000,,是,高雄市左營區
6,103/11/13,營利事業捐贈收入,佑神電子遊戲場業股份有限公司,89411961,100000,,是,高雄市前金區
7,103/11/13,營利事業捐贈收入,崇神開發實業股份有限公司高雄分公司,28435462,100000,,是,高雄市左營區
8,103/11/12,營利事業捐贈收入,國聯機械實業股份有限公司,23330849,30000,,是,高雄市岡山區
9,103/11/12,營利事業捐贈收入,有益鋼鐵股份有限公司,96862363,100000,,是,高雄市永安區
10,103/11/11,營利事業捐贈收入,柏文健康事業股份有限公司,27693238,100000,,是,高雄市左營區
11,103/11/11,營利事業捐贈收入,南鎮天然氣股份有限公司,86689421,20000,,是,
12,103/11/05,營利事業捐贈收入,勤緯交通股份有限公司,86692994,50000,,是,高雄市三民區
13,103/10/30,營利事業捐贈收入,天茂國際通運有限公司高雄分公司,12950862,100000,,是,高雄市一心一
14,103/10/29,營利事業捐贈收入,靖禾貿易有限公司,70402581,20000,,是,高雄市燕巢區
15,103/10/27,營利事業捐贈收入,一億機器廠股份有限公司,72063307,100000,,是,臺南市永康區
16,103/10/27,營利事業捐贈收入,台灣報關行股份有限公司,79633900,100000,,是,高雄市青年二
17,103/10/24,營利事業捐贈收入,聯上實業股份有限公司,16126477,100000,,是,高雄市左營區
18,103/10/17,營利事業捐贈收入,中大營造股份有限公司,53298281,200000,,是,高雄市鼓山區
19,103/10/14,營利事業捐贈收入,慶大樂企業股份有限公司,16921277,100000,,是,高雄市岡山區
20,103/10/09,營利事業捐贈收入,欣建工業股份有限公司,28042430,100000,,是,高雄市橋頭區
21,103/10/08,營利事業捐贈收入,岳勇企業股份有限公司,27621615,100000,,是,高雄市岡山區
22,103/10/08,營利事業捐贈收入,永久鋼鐵實業股份有限公司,28280306,100000,,是,高雄市岡山區
23,103/10/08,營利事業捐贈收入,盈武企業有限公司,97195157,100000,,是,高雄市岡山區
24,103/10/07,營利事業捐贈收入,昱盛鋼鐵有限公司,28150958,100000,,是,高雄市前鎮區
25,103/09/03,營利事業捐贈收入,嘉華盛科技股份有限公司,12916226,200000,,是,高雄市岡山區
