序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/27,營利事業捐贈收入,庠真企業行,21620195,10000,,是,臺南市永康區
2,103/11/21,營利事業捐贈收入,鐵金鋼食品有限公司,29121159,10000,,是,臺南市關廟區
3,103/11/21,營利事業捐贈收入,詹裕亨建築師事務所,20256578,6600,,是,臺南市安平區
4,103/11/21,營利事業捐贈收入,大耀營造有限公司,16655187,10000,,是,臺南市永康區
5,103/10/28,營利事業捐贈收入,岏興工業有限公司,27882913,100000,,是,臺南市南區明
6,103/10/15,營利事業捐贈收入,宗大建設股份有限公司,86400997,25000,,是,臺南市富農街
7,103/10/15,營利事業捐贈收入,百慶建設股份有限公司,98684054,25000,,是,臺南市安平區
8,103/10/15,營利事業捐贈收入,富立建設股份有限公司,89875321,25000,,是,臺南市安平區
9,103/10/08,營利事業捐贈收入,五十嵐企業股份有限公司,28533581,100000,,是,臺南市南區永
10,103/10/07,營利事業捐贈收入,北鑫實業有限公司,80150796,10000,,是,臺北市大安區
11,103/09/15,營利事業捐贈收入,益聖鋼鐵科技有限公司,27822900,38000,,是,臺南市安南區
12,103/09/15,營利事業捐贈收入,碳佐麻里商務旅館,69923232,30000,,是,臺南市中西區
13,103/09/15,營利事業捐贈收入,普崴有限公司,54081789,100000,,是,臺南市府前路
14,103/09/10,營利事業捐贈收入,大旺營造有限公司,70524536,66000,,是,臺南市德興路
15,103/09/09,營利事業捐贈收入,琦勝企業有限公司,22506215,100000,,是,臺南市安南區
16,103/09/09,營利事業捐贈收入,寶山軒佛店,56906421,10000,,是,台南市民權路
17,103/08/22,營利事業捐贈收入,富立建設股份有限公司,89875321,30000,,是,臺南市永華路
