序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/27,營利事業捐贈收入,致益興業有限公司,53306584,3000,,是,臺中市南屯區
2,103/11/20,營利事業捐贈收入,金大成銀樓,52807391,20000,,是,臺中市西屯區
3,103/11/05,營利事業捐贈收入,千日資產管理有限公司,53801830,6000,,是,臺中市南屯區
4,103/10/22,營利事業捐贈收入,九源石材有限公司,27648522,50000,,是,臺中市西屯區
5,103/10/22,營利事業捐贈收入,日信建設股份有限公司,80246272,60000,,是,臺中市北區進
6,103/10/21,營利事業捐贈收入,北屯路加油站有限公司,53380134,10000,,是,臺中市北區北
7,103/10/21,營利事業捐贈收入,興安路加油站有限公司,80724386,10000,,是,臺中市北屯區
8,103/10/21,營利事業捐贈收入,協巨企業有限公司,16664777,10000,,是,臺中市西屯區
9,103/10/21,營利事業捐贈收入,玉山實業有限公司,54587990,30000,,是,臺中市西屯區
10,103/10/07,營利事業捐贈收入,陳泳杉建築師事務所,39689358,12000,,是,臺中市西屯區
11,103/10/06,營利事業捐贈收入,政伸企業股份有限公司,22396792,100000,,是,臺中市西屯區
12,103/10/06,營利事業捐贈收入,鼎泰鑫實業股份有限公司,53370375,100000,,是,臺中市西屯區
13,103/10/06,營利事業捐贈收入,立誠農產有限公司,54583621,5000,,是,臺中市沙鹿區
14,103/10/06,營利事業捐贈收入,臺中市私立早稻田藝術幼兒園,17714092,60000,,是,臺中市西屯區
15,103/10/06,營利事業捐贈收入,華凌光電股份有限公司,16527682,100000,,是,臺中市北屯區
16,103/10/03,營利事業捐贈收入,翔順興交通有限公司,70697044,10000,,是,臺中市豐原區
17,103/10/01,營利事業捐贈收入,宇昱實業股份有限公司,52434908,30000,,是,彰化縣線西鄉
18,103/10/01,營利事業捐贈收入,鎮南石油股份有限公司,53623717,50000,,是,臺中市沙鹿區
19,103/10/01,營利事業捐贈收入,員村加油站股份有限公司員村中清路加,17179520,30000,,是,臺中市西屯區
20,103/10/01,營利事業捐贈收入,中村加油站股份有限公司,27849106,200000,,是,臺中市南屯區
21,103/10/01,營利事業捐贈收入,漢村股份有限公司,89795903,30000,,是,臺中市西屯區
22,103/10/01,營利事業捐贈收入,廣源鑫機電工程有限公司,25069265,10000,,是,臺中市南屯區
23,103/10/01,營利事業捐贈收入,昇禾砂布股份有限公司,16510444,3000,,是,臺中市西區五
24,103/09/16,營利事業捐贈收入,鴻鉅建設股份有限公司,24330353,200000,,是,臺中市西區大
25,103/09/11,營利事業捐贈收入,懋榮建設股份有限公司,79995121,160000,,是,臺中市西屯區
26,103/07/03,營利事業捐贈收入,富旺國際開發股份有限公司,97447647,200000,,是,臺中市西區大
