序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/25,營利事業捐贈收入,禾久貿易股份有限公司,22041618,50000,,是,臺北市內湖區
2,103/11/20,營利事業捐贈收入,嘉升空調工程有限公司,27513952,20000,,是,新北市新莊區
3,103/11/20,營利事業捐贈收入,翔穎企業社,02495226,100000,,是,新北市三重區
4,103/11/20,營利事業捐贈收入,振達木箱行,36222456,80000,,是,新北市新莊區
5,103/11/20,營利事業捐贈收入,沐舍時尚酒店有限公司,53762560,100000,,是,臺北市信義區
6,103/11/20,營利事業捐贈收入,華邦資產管理有限公司,27715492,100000,,是,臺北市中正區
7,103/11/20,營利事業捐贈收入,益昇再利用股份有限公司,80116094,100000,,是,新北市樹林區
8,103/11/16,營利事業捐贈收入,新瓦股份有限公司,53220806,200000,,是,新北市新莊區
9,103/11/15,營利事業捐贈收入,崇福機械工業有限公司,34535670,20000,,是,新北市樹林區
10,103/11/14,營利事業捐贈收入,宏普建設股份有限公司,23113054,250000,,是,臺北市大安區
11,103/11/13,營利事業捐贈收入,大幸企業社,10651706,30000,,是,新北市板橋區
12,103/11/12,營利事業捐贈收入,精崗有限公司,86076268,15000,,是,新北市樹林區
13,103/11/12,營利事業捐贈收入,得順建設股份有限公司,28729712,50000,,是,新北市新莊區
14,103/11/12,營利事業捐贈收入,佑成製衣廠有限公司,23208740,50000,,是,新北市五股區
15,103/11/12,營利事業捐贈收入,樺福建設開發股份有限公司,86397347,300000,,是,臺北市中正區
16,103/10/31,營利事業捐贈收入,泰聯投資股份有限公司,23415017,200000,,是,臺北市慶城街
17,103/10/14,營利事業捐贈收入,信華毛紡股份有限公司,35531102,100000,,是,臺北市中正區
