序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,炯源精密工業有限公司,22256363,5000,,是,高雄市小港區
2,103/11/28,營利事業捐贈收入,元際股份有限公司,86802541,50000,,是,高雄市大社區
3,103/11/27,營利事業捐贈收入,世捷貿易股份有限公司,70719309,5000,,是,高雄市小港區
4,103/11/27,營利事業捐贈收入,一君企業行,38707961,3000,,是,高雄市小港區
5,103/11/26,營利事業捐贈收入,卡登實業股份有限公司,81152744,68275,,是,高雄市前鎮區
6,103/11/26,營利事業捐贈收入,正祐貨櫃運輸股份有限公司,89280911,20000,,是,高雄市前金區
7,103/11/21,營利事業捐贈收入,實現機械工業股份有限公司,81459913,5000,,是,高雄市小港區
8,103/11/19,營利事業捐贈收入,崇惶工程行,70954872,6000,,是,高雄市小港區
9,103/11/16,營利事業捐贈收入,世捷貿易股份有限公司,70719309,15000,,是,高雄市小港區
10,103/11/14,營利事業捐贈收入,建洲營造有限公司,53881720,20000,,是,高雄市鳳山區
11,103/11/14,營利事業捐贈收入,田祝鋼鐵股份有限公司,76420973,20000,,是,高雄市新興區
12,103/11/13,營利事業捐贈收入,海光企業股份有限公司,75470524,10000,,是,高雄市小港區
13,103/11/12,營利事業捐贈收入,軒益企業有限公司,16813947,100000,,是,高雄市小港區
14,103/11/11,營利事業捐贈收入,親育園老人養護中心,80902500,20000,,是,高雄市林園區
15,103/11/11,營利事業捐贈收入,大灣家園老人長期照顧中心,38452159,20000,,是,高雄市仁武區
16,103/11/11,營利事業捐贈收入,宏仁老人養護中心,97948591,20000,,是,高雄市鳳山區
17,103/11/10,營利事業捐贈收入,鼎笈機電工程有限公司,13144260,20000,,是,高雄市燕巢區
18,103/11/10,營利事業捐贈收入,亞周建材有限公司,97159504,100000,,是,高雄市三民區
19,103/11/10,營利事業捐贈收入,景源工程有限公司,28349353,10000,,是,高雄市阿蓮區
20,103/11/06,營利事業捐贈收入,興輪有限公司,28031243,10000,,是,高雄市前鎮區
21,103/11/05,營利事業捐贈收入,加泓實業有限公司,27696501,20000,,是,高雄市小港區
22,103/11/04,營利事業捐贈收入,寶凱電子企業股份有限公司,23347270,50000,,是,高雄市大寮區
23,103/11/04,營利事業捐贈收入,新松柏養護之家,19888983,20000,,是,高雄市三民區
24,103/11/03,營利事業捐贈收入,群治環保股份有限公司,70698705,10000,,是,
25,103/11/03,營利事業捐贈收入,兆欣化學工業股份有限公司,16450092,100000,,是,屏東縣枋寮鄉
26,103/11/02,營利事業捐贈收入,信嘉鐵箱行,07835343,6000,,是,
27,103/11/01,營利事業捐贈收入,全懋企業工程行,99389165,5000,,是,高雄市小港區
28,103/11/01,營利事業捐贈收入,台發硅藻土科技股份有限公司,16128904,50000,,是,高雄市前鎮區
29,103/10/31,營利事業捐贈收入,建泰工程行,06713188,5000,,是,高雄市小港區
30,103/10/31,營利事業捐贈收入,幸廣有限公司,16824135,6000,,是,高雄市小港區
31,103/10/31,營利事業捐贈收入,忠正興業公司,29009389,12000,,是,高雄市小港區
32,103/10/30,營利事業捐贈收入,昌懋工程股份有限公司,81270881,200000,,是,高雄市小港區
33,103/10/26,營利事業捐贈收入,永順電氣材料行,08487716,10000,,是,高雄市鳳山區
34,103/10/24,營利事業捐贈收入,根茂工程企業有限公司,86437679,100000,,是,高雄市小港區
35,103/10/22,營利事業捐贈收入,賀勗企業有限公司,53249732,50000,,是,高雄市小港區
36,103/10/20,營利事業捐贈收入,榮穩輪胎有限公司,86915159,100000,,是,高雄市小港區
37,103/10/13,營利事業捐贈收入,鴻昌貿易行,99394049,100000,,是,高雄市前鎮區
38,103/10/10,營利事業捐贈收入,振展交通股份有限公司,22659839,120000,,是,高雄市小港區
39,103/06/27,營利事業捐贈收入,健爾康生活事業股份有限公司,80369251,80000,,是,高雄市鹽埕區
40,103/06/18,營利事業捐贈收入,金業興實業有限公司,89765801,100000,,是,高雄市小港區
