序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/21,營利事業捐贈收入,賓皇企業社,81534758,20000,,是,臺中市神岡區
2,103/11/19,營利事業捐贈收入,善山企業股份有限公司,55991764,10000,,是,臺中市潭子區
3,103/10/24,營利事業捐贈收入,愛菲爾室內裝潢有限公司,28152479,10000,,是,臺中市西區美
4,103/10/24,營利事業捐贈收入,詠源環保工程有限公司,70617149,100000,,是,臺中市北屯區
5,103/10/22,營利事業捐贈收入,奕大金屬製品有限公司,24209612,50000,,是,臺中市大里區
6,103/10/15,營利事業捐贈收入,鴻海保全股份有限公司,28899650,100000,,是,臺中市西區中
7,103/10/13,營利事業捐贈收入,勝佑精密工業有限公司,16057540,10000,,是,臺中市北屯區
8,103/10/09,營利事業捐贈收入,拓凱實業股份有限公司,52590175,100000,,是,臺中市南屯區
9,103/10/07,營利事業捐贈收入,統茂和平大飯店股份有限公司,53892228,100000,,是,台中市北區進
10,103/10/06,營利事業捐贈收入,中大冷凍材料股份有限公司,89201607,30000,,是,臺中市太平區
11,103/10/05,營利事業捐贈收入,國成食品有限公司,54004762,100000,,是,臺中市北屯區
12,103/10/05,營利事業捐贈收入,呈泰光電科技有限公司,24415768,6000,,是,臺中市北屯區
13,103/10/05,營利事業捐贈收入,豐禾股份有限公司,53390891,10000,,是,臺中市西屯區
14,103/09/29,營利事業捐贈收入,三羽建材股份有限公司,52658097,50000,,是,臺中市北屯區
15,103/09/24,營利事業捐贈收入,高鼎人力資源管理顧問有限公司,80403574,20000,,是,臺中市西屯區
16,103/09/09,營利事業捐贈收入,總太建設開發股份有限公司,84214879,100000,,是,臺中市西區民
17,103/09/09,營利事業捐贈收入,高章營造股份有限公司,72039551,100000,,是,臺中市西區民
18,103/07/03,營利事業捐贈收入,國介企業有限公司,23339975,50000,,是,高雄市前鎮區
