序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,名肯膠業有限公司,22592387,42000,,是,桃園縣平鎮市
2,103/11/28,營利事業捐贈收入,萬芳國際興業股份有限公司,25084293,100000,,是,桃園縣中壢市
3,103/11/28,營利事業捐贈收入,冠盛紙業股份有限公司,16956698,100000,,是,臺中市大里區
4,103/11/25,營利事業捐贈收入,合江工業廠股份有限公司,86326815,10000,,是,桃園縣觀音鄉
5,103/11/24,營利事業捐贈收入,佳定食品有限公司,16160798,10000,,是,桃園縣平鎮市
6,103/11/22,營利事業捐贈收入,緯虹精密科技有限公司,97249082,10000,,是,桃園縣中壢市
7,103/11/16,營利事業捐贈收入,裕順建材有限公司,89768547,3600,,是,桃園縣中壢市
8,103/11/14,營利事業捐贈收入,銓昌科技股份有限公司,70576560,60000,,是,臺北市大安區
9,103/11/07,營利事業捐贈收入,鴻益企業股份有限公司,44921757,200000,,是,臺北市松山區
10,103/11/06,營利事業捐贈收入,基準實業有限公司,30954616,100000,,是,桃園縣中壢市
11,103/11/04,營利事業捐贈收入,銓康旅行社有限公司,28752712,10000,,是,桃園縣平鎮市
12,103/10/29,營利事業捐贈收入,友泉工程有限公司,23005787,50000,,是,桃園縣中壢市
13,103/10/29,營利事業捐贈收入,浚富科技有限公司,27644342,50000,,是,桃園縣中壢市
14,103/10/25,營利事業捐贈收入,台薪有限公司,24612536,20000,,是,桃園縣平鎮市
15,103/10/25,營利事業捐贈收入,三劼精機股份有限公司,45029679,2000,,是,桃園縣中壢市
16,103/10/25,營利事業捐贈收入,弘兆錦國際有限公司,53855883,10000,,是,桃園縣中壢市
17,103/10/25,營利事業捐贈收入,眾信地產有限公司,27395300,10000,,是,桃園縣桃園市
18,103/10/25,營利事業捐贈收入,昇唯企業有限公司,43883755,5000,,是,桃園縣桃園市
19,103/10/25,營利事業捐贈收入,鼎鑫人力資源顧問有限公司,53516076,30000,,是,桃園縣平鎮市
20,103/10/25,營利事業捐贈收入,遠東皮鞋店,26173147,2000,,是,桃園縣中壢市
21,103/10/25,營利事業捐贈收入,沅太交通股份有限公司,84254822,10000,,是,桃園縣楊梅市
22,103/10/25,營利事業捐贈收入,英陞企業有限公司,84235430,3000,,是,桃園縣中壢市
23,103/10/25,營利事業捐贈收入,福祥禮品鮮花店,87936110,60000,,是,桃園縣桃園市
24,103/10/25,營利事業捐贈收入,錦家御宴餐廳,44907707,30000,,是,桃園縣中壢市
25,103/10/25,營利事業捐贈收入,忠佑營造股份有限公司,44416929,100000,,是,桃園縣平鎮市
26,103/10/24,營利事業捐贈收入,力鋼工業股份有限公司,31235657,100000,,是,臺北市士林區
27,103/10/22,營利事業捐贈收入,宇盈投資股份有限公司,28860016,200000,,是,臺北市內湖區
28,103/10/21,營利事業捐贈收入,信俐企業社,34833164,60000,,是,桃園縣中壢市
29,103/10/14,營利事業捐贈收入,本燔餐飲有限公司,53066368,60000,,是,桃園縣中壢市
30,103/10/07,營利事業捐贈收入,三宜油化股份有限公司,07630806,50000,,是,臺北市中山區
