序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/17,營利事業捐贈收入,大埕小吃店,19691588,50000,,是,桃園縣桃園市
2,103/11/14,營利事業捐贈收入,寶雅國際股份有限公司,97151664,50000,,是,臺北市中山區
3,103/11/11,營利事業捐贈收入,威瑪百貨股份有限公司,27830710,12000,,是,新北市新莊區
4,103/11/06,營利事業捐贈收入,三美富企業有限公司,54023249,36000,,是,新北市五股區
5,103/11/04,營利事業捐贈收入,富麗生活事業有限公司,89701224,100000,,是,新北市蘆洲區
6,103/11/04,營利事業捐贈收入,富麗生活事業有限公司,89701224,100000,,是,新北市蘆洲區
7,103/11/03,營利事業捐贈收入,葉恕宏律師事務所,38529404,6000,,是,臺北市中正區
8,103/11/03,營利事業捐贈收入,私立漢鉅文理語文數學短期補習班,34928128,10000,,是,桃園縣龍潭鄉
9,103/11/03,營利事業捐贈收入,大地工業股份有限公司,35006917,60000,,是,新北市蘆洲區
10,103/10/31,營利事業捐贈收入,金大機車有限公司,16521532,5000,,是,新北市蘆洲區
11,103/10/29,營利事業捐贈收入,重陽橋加油站股份有限公司,23720635,20000,,是,新北市三重區
12,103/10/29,營利事業捐贈收入,高笙建設股份有限公司,16071275,100000,,是,新北市三重區
13,103/10/27,營利事業捐贈收入,友富服裝有限公司,22134138,100000,,是,新北市五股區
14,103/10/26,營利事業捐贈收入,東洲化學製藥廠股份有限公司,35220607,20000,,是,新北市蘆洲區
15,103/10/26,營利事業捐贈收入,世新大飯店股份有限公司,22221978,200000,,是,新北市三重區
16,103/10/26,營利事業捐贈收入,辰葳印刷股份有限公司,86288039,20000,,是,新北市蘆洲區
17,103/10/24,營利事業捐贈收入,成盛發建設股份有限公司,27394409,50000,,是,新北市蘆洲區
18,103/10/24,營利事業捐贈收入,礱盛工程有限公司,89788327,50000,,是,新北市淡水區
19,103/10/24,營利事業捐贈收入,杜比克科技工程公司,28334273,30000,,是,新北市蘆洲區
20,103/10/24,營利事業捐贈收入,橋記工業股份有限公司,23994206,30000,,是,臺北市文山區
21,103/10/22,營利事業捐贈收入,華貿行實業股份有限公司,86942418,100000,,是,新北市蘆洲區
22,103/10/21,營利事業捐贈收入,漢霆事業有限公司,28877488,100000,,是,新北市蘆洲區
23,103/10/21,營利事業捐贈收入,頤揚有限公司,79980318,100000,,是,新北市蘆洲區
24,103/10/21,營利事業捐贈收入,翰田建設事業有限公司,29155559,50000,,是,新北市蘆洲區
25,103/10/21,營利事業捐贈收入,豪美開發建設有限公司,97240879,50000,,是,新北市蘆洲區
26,103/10/03,營利事業捐贈收入,鴻安企業社,09722979,50000,,是,新北市三重區
27,103/10/03,營利事業捐贈收入,周泳成建築師事務所,97994320,5000,,是,臺北市中正區
28,103/09/25,營利事業捐贈收入,阿思瑪旅店有限公司,29131662,300000,,是,博愛街號樓
