序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/19,營利事業捐贈收入,建造股份有限公司,28657914,12000,,是,臺中市南屯區
2,103/11/02,營利事業捐贈收入,美誼游泳池有限公司,28656393,8000,,否,臺中市西區五
3,103/10/30,營利事業捐贈收入,羊角餐飲有限公司,24584665,30000,,是,臺中市南屯區
4,103/10/29,營利事業捐贈收入,聖福農業機械有限公司,13050185,80000,,否,臺中市西屯區
5,103/10/29,營利事業捐贈收入,大晟營造股份有限公司,86255706,100000,,是,臺中市西屯區
6,103/10/18,營利事業捐贈收入,聯安傳播企劃有限公司,53998799,40000,,否,臺中市南屯區
7,103/10/18,營利事業捐贈收入,昱朋實業有限公司,54595062,10000,,是,臺中市北屯區
8,103/10/17,營利事業捐贈收入,永山宏興業有限公司,16973090,10000,,是,臺中市南屯區
9,103/10/16,營利事業捐贈收入,盛方源科技股份有限公司,97226763,120000,,是,臺中市南屯區
10,103/10/03,營利事業捐贈收入,楓興國際有限公司,24582738,100000,,是,臺中市南屯區
11,103/10/02,營利事業捐贈收入,群祐機械股份有限公司,86968182,20000,,是,臺中市南屯區
12,103/10/01,營利事業捐贈收入,龍昇企業社,45856971,30000,,否,臺中市北屯區
13,103/10/01,營利事業捐贈收入,台中生物科技有限公司,27780681,30000,,否,臺中市南屯區
14,103/10/01,營利事業捐贈收入,長耕國際股份有限公司,23170272,30000,,是,臺中市西屯區
15,103/09/15,營利事業捐贈收入,乙樹企業有限公司,16233547,100000,,是,臺中市南屯區
16,103/08/30,營利事業捐贈收入,晨禎營造股份有限公司,80118749,100000,,是,臺中市北區五
17,103/08/30,營利事業捐贈收入,晨禎營造股份有限公司,80118749,100000,,是,五權路號樓
