序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/20,營利事業捐贈收入,明躍國際健康科技股份有限公司,70527203,200000,,是,彰化縣埔心鄉
2,103/11/12,營利事業捐贈收入,勝霖藥品股份有限公司,70741647,60000,,是,臺中市西屯區
3,103/11/12,營利事業捐贈收入,中良工業股份有限公司,52556248,50000,,是,臺中市大雅區
4,103/11/09,營利事業捐贈收入,金鐘開發建設有限公司,28359324,10000,,是,臺中市北屯區
5,103/11/08,營利事業捐贈收入,楊記投資股份有限公司,16234258,200000,,是,臺中市沙鹿區
6,103/10/24,營利事業捐贈收入,健閔實業股份有限公司,22230202,20000,,是,臺中市北區東
7,103/10/20,營利事業捐贈收入,力勤農產有限公司,80730649,32147,,否,臺中市北屯區
8,103/10/20,營利事業捐贈收入,弘國光學有限公司,80569856,50000,,是,臺中市北區漢
9,103/10/18,營利事業捐贈收入,金鴻運不動產經濟有限公司,53299177,20000,,是,臺中市北屯區
10,103/10/18,營利事業捐贈收入,日盛牛肉股份有限公司,80445700,22000,,是,臺中市北區雙
11,103/10/18,營利事業捐贈收入,大力卜股份有限公司,84383086,100000,,是,臺中市神岡區
12,103/10/14,營利事業捐贈收入,一九有限公司,54765565,20000,,是,臺中市西屯區
13,103/10/14,營利事業捐贈收入,冠穎食品企業有限公司,24390823,10000,,是,臺中市南屯區
14,103/10/14,營利事業捐贈收入,宥美土木包工業,45729997,20000,,是,臺中市北屯區
15,103/10/10,營利事業捐贈收入,山大立不動產經紀業股份有限公司,16537393,100000,,是,臺中市北區中
16,103/10/09,營利事業捐贈收入,亞路有限公司,12829200,20000,,是,臺中市北區大
17,103/10/05,營利事業捐贈收入,山大立不動產經紀業股份有限公司,16537393,50000,,是,臺中市北區中
18,103/10/03,營利事業捐贈收入,林維建設股份有限公司,80551568,100000,,是,臺中市西區大
19,103/10/03,營利事業捐贈收入,造園企業有限公司,86791827,10000,,是,臺中市北屯區
20,103/10/01,營利事業捐贈收入,和順興汽車企業股份有限公司,16967920,10000,,是,臺中市南屯區
21,103/10/01,營利事業捐贈收入,興成五金有限公司,80432867,5000,,是,臺中市北屯區
22,103/10/01,營利事業捐贈收入,福合緣生命禮儀有限公司,53975386,10000,,是,臺中市北區學
23,103/09/18,營利事業捐贈收入,邵氏國際貿易有限公司,89519225,100000,,是,臺中市北屯區
