序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/26,營利事業捐贈收入,利橋鋼鐵股份有限公司,23279462,20000,,是,新北市林口區
2,103/11/22,營利事業捐贈收入,遠鼎股份有限公司,05707618,1000000,,是,臺北市大安區
3,103/11/20,營利事業捐贈收入,兆利科技工業股份有限公司,27393491,100000,,是,新北市新莊區
4,103/11/20,營利事業捐贈收入,美麗信房屋仲介股份有限公司,29143870,10000,,是,新北市林口區
5,103/11/15,營利事業捐贈收入,聖龍金屬表面處理有限公司,36284207,100000,,是,新北市五股區
6,103/11/15,營利事業捐贈收入,宏濱營造有限公司,59318003,50000,,是,桃園縣桃園市
7,103/11/12,營利事業捐贈收入,川菱工業股份有限公司,34573499,100000,,是,新北市五股區
8,103/11/10,營利事業捐贈收入,新潤興業股份有限公司,16318881,200000,,是,臺北市松山區
9,103/11/10,營利事業捐贈收入,龍晉殿企業社,09676834,66000,,是,新北市八里區
10,103/11/10,營利事業捐贈收入,馥蘭朵酒店股份有限公司,53083676,30000,,是,臺北市北投區
11,103/11/10,營利事業捐贈收入,日勝生活科技股份有限公司,12373243,300000,,是,臺北市大同區
12,103/11/10,營利事業捐贈收入,先鋒材料科技股份有限公司,28891448,100000,,是,新北市五股區
13,103/11/08,營利事業捐贈收入,庭聖有限公司,97375019,50000,,是,新北市三重區
14,103/11/04,營利事業捐贈收入,錦鋐企業股份有限公司,22390256,200000,,是,新北市新莊區
15,103/11/03,營利事業捐贈收入,通盈通運股份有限公司,86379220,100000,,是,新北市新莊區
16,103/10/29,營利事業捐贈收入,進昌貿易股份有限公司,21259356,20000,,是,臺北市松山區
17,103/10/28,營利事業捐贈收入,得順建設股份有限公司,28729712,50000,,是,新北市新莊區
18,103/10/25,營利事業捐贈收入,大慶票券金融股份有限公司,97172915,700000,,是,臺北市中山區
19,103/10/24,營利事業捐贈收入,巨蛋展覽股份有限公司,84945811,50000,,是,臺北市內湖區
20,103/10/22,營利事業捐贈收入,卓傳股份有限公司,16275757,200000,,是,臺北市信義區
21,103/10/20,營利事業捐贈收入,勝昌製藥廠股份有限公司,18930007,250000,,否,臺北市中正區
22,103/10/15,營利事業捐贈收入,維亨投資有限公司,53350758,200000,,是,新北市五股區
23,103/09/30,營利事業捐贈收入,全球興業股份有限公司,89604159,300000,,是,臺北市內湖區
24,103/09/12,營利事業捐贈收入,永翊開發股份有限公司,16058560,300000,,是,新北市林口區
25,103/09/03,營利事業捐贈收入,尚華創意廣告有限公司,54039072,100000,,是,新北市泰山區
26,103/09/03,營利事業捐贈收入,尚華創意廣告有限公司,54039072,100000,,是,新北市泰山區
27,103/09/02,營利事業捐贈收入,磐鼎建設股份有限公司,54328278,100000,,是,臺北市中山區
28,103/09/01,營利事業捐贈收入,台灣房屋仲介股份有限公司,21251208,200000,,是,臺北市大安區
