序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,麥茵茲美形診所,38546017,50000,,是,臺北市松山區
2,103/11/27,營利事業捐贈收入,大漢營造工程有限公司,84164890,300000,,是,新北市板橋區
3,103/11/19,營利事業捐贈收入,騏山國際有限公司,16513168,6000,,是,新北市土城區
4,103/11/11,營利事業捐贈收入,富騰服飾開發有限公司,53690948,20000,,是,新北市板橋區
5,103/11/08,營利事業捐贈收入,國際電化商品股份有限公司,03388202,100000,,是,臺北市博愛路
6,103/11/07,營利事業捐贈收入,龍昇酒業股份有限公司,28283071,500000,,是,新北市三重區
7,103/10/29,營利事業捐贈收入,太平洋崇光百貨股份有限公司,21257316,1000000,,是,臺北市大安區
8,103/10/29,營利事業捐贈收入,萬保營造股份有限公司,53139600,500000,,是,臺北市中正區
9,103/10/28,營利事業捐贈收入,捷福紡織廠有限公司,53452621,30000,,是,新北市新莊區
10,103/10/27,營利事業捐贈收入,福座開發股份有限公司,23827215,200000,,是,臺北市中正區
11,103/10/23,營利事業捐贈收入,達麗建設事業股份有限公司,04477420,200000,,是,臺北市中山區
12,103/10/15,營利事業捐贈收入,盟哲實業有限公司,22589849,100000,,是,新北市板橋區
13,103/10/13,營利事業捐贈收入,萬鈞旅行社股份有限公司,16148161,120000,,是,臺北市中山區
14,103/10/06,營利事業捐贈收入,昆宏國際股份有限公司,54321253,500000,,是,臺北市松山區
15,103/10/05,營利事業捐贈收入,金帝固德有限公司,53716118,12000,,是,新北市泰山區
16,103/10/04,營利事業捐贈收入,滿福產後護理之家,41125659,20000,,是,新北市土城區
17,103/10/04,營利事業捐贈收入,日日發建設有限公司,27435443,100000,,是,新北市板橋區
18,103/10/04,營利事業捐贈收入,協明化工股份有限公司,07209709,100000,,是,新北市板橋區
19,103/10/03,營利事業捐贈收入,星河國際有限公司,12839501,100000,,是,新北市板橋區
20,103/10/03,營利事業捐贈收入,竹北置地開發有限公司,53725931,200000,,是,新北市新莊區
21,103/10/03,營利事業捐贈收入,天崗營造股份有限公司,89780417,20000,,是,新北市新莊區
22,103/10/03,營利事業捐贈收入,萊藝園藝有限公司,29174140,20000,,是,新北市板橋區
23,103/10/02,營利事業捐贈收入,亞太宏光實業有限公司,12679814,12000,,是,臺北市林森北
24,103/09/23,營利事業捐贈收入,天信室內裝修工程有限公司,97242270,20000,,是,中央路號樓
25,103/09/19,營利事業捐贈收入,華安聯網科技股份有限公司,97063923,200000,,是,安康路之號樓
26,103/08/21,營利事業捐贈收入,凱岳工程有限公司,28685806,500000,,是,臺北市松山區
27,103/08/06,營利事業捐贈收入,樺安毛刷股份有限公司,27878777,200000,,是,新北市新莊區
