序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/27,營利事業捐贈收入,銓昌科技股份有限公司,70576560,60000,,是,臺北市信義區
2,103/11/17,營利事業捐贈收入,自立有限公司,70742322,10000,,是,桃園縣中壢市
3,103/11/17,營利事業捐贈收入,強鼎工程有限公司,28563965,60000,,是,桃園縣中壢市
4,103/11/17,營利事業捐贈收入,柏昶建設股份有限公司,84385578,100000,,是,桃園縣中壢市
5,103/11/16,營利事業捐贈收入,永得有限公司,97194869,50000,,是,桃園縣中壢市
6,103/11/10,營利事業捐贈收入,山葉家具事業股份有限公司,18547805,30000,,是,臺北市中正區
7,103/10/28,營利事業捐贈收入,築地大海有限公司,24635828,30000,,是,桃園縣中壢市
8,103/10/21,營利事業捐贈收入,新台塑膠工業(股)公司,04348947,100000,,是,臺北市大同區
9,103/10/19,營利事業捐贈收入,捷暘企業社,31579982,20000,,是,桃園縣中壢市
10,103/10/19,營利事業捐贈收入,協昌承軸有限公司,12546771,50000,,是,臺北市承德路
11,103/10/19,營利事業捐贈收入,建信木箱企業有限公司,24246341,30000,,是,桃園縣中壢市
12,103/10/15,營利事業捐贈收入,周慧股份有限公司,53170469,100000,,是,桃園縣中壢市
13,103/10/15,營利事業捐贈收入,玉秀股份有限公司,27907338,100000,,是,桃園縣中壢市
14,103/10/15,營利事業捐贈收入,合孚企業股份有限公司,16332531,100000,,是,桃園縣楊梅市
15,103/09/21,營利事業捐贈收入,宥星皮業有限公司,84681487,100000,,是,桃園縣中壢市
