序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/08/01,營利事業捐贈收入,昴峰建設股份有限公司,53262185,360000,,是,臺中市西區五
2,103/08/29,營利事業捐贈收入,東展開發股份有限公司,28090241,100000,,是,雲林縣斗南鎮
3,103/09/05,營利事業捐贈收入,進南貨運股份有限公司,68671624,10000,,是,臺中市潭子區
4,103/09/09,營利事業捐贈收入,祚榮投資有限公司,80734552,100000,,是,臺中市西區民
5,103/09/09,營利事業捐贈收入,高章營造股份有限公司,72039551,100000,,是,臺中市西區民
6,103/09/10,營利事業捐贈收入,登仰建設有限公司,27667225,200000,,是,臺中市大里區
7,103/09/12,營利事業捐贈收入,天旭企業社,39654409,100000,,是,臺中市北屯區
8,103/09/12,營利事業捐贈收入,鐘佳企業股份有限公司,52517175,50000,,是,臺中市大里區
9,103/09/16,營利事業捐贈收入,全宏汽車材料有限公司,53851182,36000,,是,臺中市北屯區
10,103/09/17,營利事業捐贈收入,潤寶企業有限公司,52365487,30000,,是,臺中市北區國
11,103/09/22,營利事業捐贈收入,宏昇機械廠,52719974,20000,,是,臺中市大雅區
12,103/09/22,營利事業捐贈收入,燕村股份有限公司,23577434,20000,,是,臺中市大雅區
13,103/09/22,營利事業捐贈收入,法雅食品有限公司,24442619,20000,,是,臺中市西屯區
14,103/10/13,營利事業捐贈收入,中御建設股份有限公司,25092977,30000,,是,臺中市大里區
15,103/10/13,營利事業捐贈收入,瓏昇實業股份有限公司,55891961,10000,,是,臺中市大里區
16,103/10/14,營利事業捐贈收入,中信企業股份有限公司,51613777,50000,,是,臺中市西屯區
17,103/10/14,營利事業捐贈收入,新大企業行,51713868,20000,,是,臺中市北屯區
18,103/10/22,營利事業捐贈收入,大富戶外媒體有限公司,53849546,30000,,是,臺中市北屯區
19,103/10/22,營利事業捐贈收入,矩將科技有限公司,16993716,100000,,是,臺中市北屯區
20,103/10/22,營利事業捐贈收入,翊睦建設有限公司,53392737,50000,,是,臺中市烏日區
21,103/10/24,營利事業捐贈收入,國介企業有限公司,23339975,100000,,是,臺中市西屯區
22,103/10/24,營利事業捐贈收入,三羽建材股份有限公司,52658097,36000,,是,臺中市北屯區
23,103/10/25,營利事業捐贈收入,久慶營造有限公司,23851967,40000,,是,臺中市北屯區
24,103/10/26,營利事業捐贈收入,一九有限公司,54765565,12000,,是,臺中市北屯區
25,103/10/28,營利事業捐贈收入,仲信大飯店股份有限公司,97488977,100000,,是,臺中市北屯區
26,103/10/29,營利事業捐贈收入,台中市私立新福祿貝爾托兒園,17731487,60000,,是,臺中市北屯區
27,103/10/29,營利事業捐贈收入,高照建設有限公司,97493830,60000,,是,臺中市西屯區
28,103/10/31,營利事業捐贈收入,耐銳製造廠有限公司,29104320,20000,,是,臺中市西屯區
29,103/10/31,營利事業捐贈收入,申錫企業股份有限公司,22666893,20000,,是,臺中市北屯區
30,103/10/31,營利事業捐贈收入,楊記投資股份有限公司,16234258,200000,,是,臺中市沙鹿區
31,103/10/31,營利事業捐贈收入,中亞投資股份有限公司,16233949,300000,,是,臺中市沙鹿區
32,103/11/04,營利事業捐贈收入,大全工業社,52709413,50000,,是,臺中市北屯區
33,103/11/18,營利事業捐贈收入,薇米精品商旅股份有限公司,54292200,20000,,是,臺中市中區繼
34,103/11/18,營利事業捐贈收入,昌澤機械股份有限公司,53510642,50000,,是,臺中市大雅區
