序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/10,營利事業捐贈收入,宏亮娛樂股份有限公司,70442768,700000,,是,臺北市大安區
2,103/11/10,營利事業捐贈收入,巨豐旅館管理顧問股份有限公司,16156865,300000,,是,臺北市大安區
3,103/10/27,營利事業捐贈收入,泰豪車業有限公司,84610836,20000,,是,臺中市北區進
4,103/10/25,營利事業捐贈收入,永進營造股份有限公司,84160281,150000,,是,臺中市西屯區
5,103/09/26,營利事業捐贈收入,陸誠預拌混凝土有限公司,80063998,100000,,是,臺中市清水區
6,103/09/25,營利事業捐贈收入,禾勝國際開發股份有限公司,27492014,500000,,是,臺中市南屯區
7,103/09/25,營利事業捐贈收入,東峰建設股份有限公司,52933566,200000,,是,臺中市南屯區
8,103/09/25,營利事業捐贈收入,澄石建設有限公司,53609692,200000,,是,臺中市北區國
9,103/09/18,營利事業捐贈收入,國泰洋酒股份有限公司,27776146,8000,,否,臺中市北區五
10,103/09/15,營利事業捐贈收入,國泰洋酒股份有限公司,27776146,100000,,是,臺中市北區五
11,103/09/15,營利事業捐贈收入,百昱建設股份有限公司,27382282,100000,,是,臺中市大里區
12,103/09/12,營利事業捐贈收入,忠泰建設股份有限公司,22957034,800000,,是,臺中市中山區
13,103/08/20,營利事業捐贈收入,禾達營造工程股份有限公司,16337206,100000,,是,臺中市西區東
14,103/08/07,營利事業捐贈收入,福順股份有限公司,23988823,500000,,是,臺中市西屯區
15,103/08/07,營利事業捐贈收入,建舜營造股份有限公司,84974977,200000,,是,臺中市西屯區
16,103/08/04,營利事業捐贈收入,鑫鼎王餐飲股份有限公司,53546917,200000,,是,臺中市西屯區
