序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/27,營利事業捐贈收入,銓昌科技股份有限公司,70576560,60000,,是,台北市信義路
2,103/11/24,營利事業捐贈收入,欣天成股份有限公司,16382026,300000,,是,桃園縣楊梅市
3,103/11/19,營利事業捐贈收入,邑菖工程顧問有限公司,28961160,20000,,是,新北市永和區
4,103/11/19,營利事業捐贈收入,名佳利金屬工業(股)公司,45018531,60000,,是,桃園縣中壢市
5,103/11/13,營利事業捐贈收入,自立有限公司,70742322,100000,,是,桃園縣中壢市
6,103/11/11,營利事業捐贈收入,竑門建設股份有限公司,12774325,100000,,是,桃園縣桃園市
7,103/11/10,營利事業捐贈收入,力德管理顧問有限公司,28033755,200000,,是,新北市板橋區
8,103/11/10,營利事業捐贈收入,廣容綠化有限公司,24222777,100000,,是,桃園縣中壢市
9,103/10/31,營利事業捐贈收入,宏賢建設股份有限公司,28851059,200000,,是,臺北市八德路
10,103/10/30,營利事業捐贈收入,宏其醫療社團法人,10079764,100000,,是,桃園縣中壢市
11,103/10/30,營利事業捐贈收入,友泉工程有限公司,23005787,50000,,是,桃園縣中壢市
12,103/10/28,營利事業捐贈收入,鴻翔通運有限公司,16571737,66000,,是,桃園縣中壢市
13,103/10/28,營利事業捐贈收入,中壢汽車客運股份有限公司,44962285,100000,,是,桃園縣中壢市
14,103/10/24,營利事業捐贈收入,鍾岳庭建築師事務所,08412321,20000,,是,桃園縣中壢市
15,103/10/20,營利事業捐贈收入,威均建設有限公司,97222909,150000,,是,桃園縣中壢市
16,103/10/20,營利事業捐贈收入,長昇建設股份有限公司,22954640,30000,,是,桃園縣中正路
17,103/10/20,營利事業捐贈收入,禎祥聯合會計師事務所,87803803,50000,,是,中壢市新明路
18,103/10/08,營利事業捐贈收入,沈伯卿建築師事務所,99478390,200000,,是,桃園縣蘆竹鄉
19,103/10/08,營利事業捐贈收入,富廣豐建設有限公司,25030683,500000,,是,桃園縣桃園市
20,103/10/08,營利事業捐贈收入,家新建設股份有限公司,54502254,1000,,是,桃園縣桃園市
21,103/10/08,營利事業捐贈收入,盛儷建設股份有限公司,53845990,200000,,是,桃園縣中壢市
22,103/10/02,營利事業捐贈收入,麒寶開發建設有限公司,53072679,100000,,是,桃園縣桃園市
23,103/09/15,營利事業捐贈收入,康舒科技股份有限公司,12341051,500000,,是,臺北市松山區
24,103/08/31,營利事業捐贈收入,光輝水電材料有限公司,13024531,300000,,是,新竹縣竹北市
25,103/08/25,營利事業捐贈收入,私立儒林兒童照顧服務中心,67760747,100000,,是,桃園縣中壢市
26,103/08/25,營利事業捐贈收入,宏致電子股份有限公司,97257738,500000,,是,桃園縣中壢市
