序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,立信偉業股份有限公司,28182804,100000,,是,臺北市信義區
2,103/11/28,營利事業捐贈收入,龍頂鋼鐵股份有限公司,89855697,50000,,是,桃園縣龍潭鄉
3,103/11/26,營利事業捐贈收入,羿瑋鋼鐵股份有限公司,89900118,50000,,是,桃園縣龍潭鄉
4,103/11/26,營利事業捐贈收入,龍頂鋼鐵股份有限公司,89855697,50000,,是,桃園縣龍潭鄉
5,103/11/22,營利事業捐贈收入,開壢不動產仲介經紀有限公司,89875835,10000,,是,桃園縣中壢市
6,103/11/20,營利事業捐贈收入,勤樸開發有限公司,53855146,100000,,是,新北市新莊區
7,103/11/13,營利事業捐贈收入,福佑興建設有限公司,27586954,60000,,是,桃園縣龍潭鄉
8,103/11/12,營利事業捐贈收入,松鈞工業股份有限公司,45099626,30000,,是,桃園縣龍潭鄉
9,103/11/12,營利事業捐贈收入,詠全國際有限公司,53646710,2000,,是,桃園縣八德市
10,103/11/12,營利事業捐贈收入,凱虹汽車旅館有限公司,16503020,3000,,是,桃園縣龍潭鄉
11,103/11/12,營利事業捐贈收入,世政交通有限公司,70707444,10000,,是,桃園縣龍潭鄉
12,103/11/12,營利事業捐贈收入,美堅國際股份有限公司,23028607,5000,,是,臺北市中正區
13,103/11/12,營利事業捐贈收入,富宇開發有限公司,80601531,50000,,是,桃園縣桃園市
14,103/11/10,營利事業捐贈收入,杏昌牙醫診所,02716229,10000,,是,桃園縣龍潭鄉
15,103/11/10,營利事業捐贈收入,金洲機械工程有限公司,28502216,20000,,是,桃園縣平鎮市
16,103/11/09,營利事業捐贈收入,立信偉業股份有限公司,28182804,100000,,是,臺北市信義區
17,103/11/06,營利事業捐贈收入,忠佑營造股份有限公司,44416929,50000,,是,桃園縣平鎮市
18,103/10/29,營利事業捐贈收入,宗亞資訊工業股份有限公司,86010169,50000,,是,臺北市南港區
19,103/10/28,營利事業捐贈收入,尚振股份有限公司,12799178,3000,,是,桃園縣中壢市
20,103/10/24,營利事業捐贈收入,三峰管理顧問有限公司,16895807,10000,,是,桃園縣桃園市
21,103/10/24,營利事業捐贈收入,道霖有限公司,80006358,20000,,是,桃園縣龍潭鄉
22,103/10/20,營利事業捐贈收入,銓喜汽車有限公司,70530811,50000,,是,桃園縣龍潭鄉
23,103/10/17,營利事業捐贈收入,全都建設有限公司,54777464,20000,,是,桃園縣八德市
24,103/10/05,營利事業捐贈收入,捷堡營造工程有限公司,89780985,100000,,是,桃園縣桃園市
25,103/10/01,營利事業捐贈收入,春元車輛科技有限公司,27439428,60000,,是,新北市三重區
26,103/10/01,營利事業捐贈收入,合智工業股份有限公司,70496670,100000,,是,桃園縣楊梅市
27,103/10/01,營利事業捐贈收入,捷堡營造工程有限公司,89780985,100000,,是,桃園縣桃園市
