序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,營利事業捐贈收入,媛媛傳播廣告工作室,25899430,20000,,是,
2,103/11/24,營利事業捐贈收入,裕元投資股份有限公司,22553878,500000,,是,臺北市大安區
3,103/11/24,營利事業捐贈收入,裕元投資股份有限公司,22553878,500000,,是,臺北市大安區
4,103/11/24,營利事業捐贈收入,崇神開發實業股份有限公司—高雄分公司,28435462,100000,,是,高雄市左營區
5,103/11/24,營利事業捐贈收入,漢神名店百貨股份有限公司,23827290,100000,,是,高雄市前金區
6,103/11/05,營利事業捐贈收入,子龍建設有限公司,96851561,100000,,是,臺南市永康區
7,103/11/05,營利事業捐贈收入,寶源企業社,06393592,2000,,是,
8,103/11/05,營利事業捐贈收入,舜第建設有限公司,89218831,20000,,是,
9,103/10/20,營利事業捐贈收入,寶雅國際股份有限公司,97151664,100000,,是,臺南市中西區
10,103/10/20,營利事業捐贈收入,統亞電子科技股份有限公司,23236751,50000,,是,臺南市安南區
11,103/10/20,營利事業捐贈收入,富立建設股份有限公司,89875321,15000,,是,
12,103/10/07,營利事業捐贈收入,盈信製本所,06441031,20000,,是,
13,103/10/07,營利事業捐贈收入,佳德建材股份有限公司,22835413,500000,,是,高雄市三民區
14,103/10/02,營利事業捐贈收入,寶雅國際股份有限公司,97151664,20000,,是,
15,103/08/31,營利事業捐贈收入,有龍建設開發股份有限公司,84405440,120000,,是,臺南市南區新
