序號,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,金錢類,地址
1,103/09/05,營利事業捐贈收入,安暹工業股份有限公司,52521488,30000,,是,臺中市東區十
2,103/09/05,營利事業捐贈收入,總太建設開發股份有限公司,84214879,100000,,是,臺中市西區民
3,103/09/05,營利事業捐贈收入,祚榮投資有限公司,80734552,100000,,是,臺中市西區民
4,103/09/16,營利事業捐贈收入,大元精品商行,10948308,10000,,是,臺中市南區美
5,103/10/14,營利事業捐贈收入,玉豐螺絲實業股份有限公司,27506565,50000,,是,臺中市東區東
6,103/10/16,營利事業捐贈收入,宗辰展業股份有限公司,52601412,10000,,是,臺中市東區大
7,103/10/16,營利事業捐贈收入,坤陞塑膠企業有限公司,53279138,20000,,是,臺中市大里區
8,103/10/18,營利事業捐贈收入,廣大鐵業有限公司,28505109,50000,,是,臺中市東區十
9,103/10/18,營利事業捐贈收入,大鞏工業股份有限公司,86624672,60000,,是,臺中市太平區
10,103/10/18,營利事業捐贈收入,菱山鑄造材料有限公司,16351775,60000,,是,臺中市東區東
11,103/10/19,營利事業捐贈收入,由達電腦科技有限公司,28312237,6000,,是,臺中市大里區
12,103/10/22,營利事業捐贈收入,嘉篁企業股份有限公司,52906977,66000,,是,臺中市南區正
13,103/10/27,營利事業捐贈收入,忠仕金屬股份有限公司,16914987,50000,,是,臺中市東區東
14,103/11/07,營利事業捐贈收入,共茂工業股份有限公司,52559391,50000,,是,臺中市南區樹
15,103/11/10,營利事業捐贈收入,神冶鑄造廠,97520914,10000,,是,臺中市太平區
16,103/11/11,營利事業捐贈收入,巨峰銑品有限公司,27793102,50000,,是,臺中市太平區
17,103/11/17,營利事業捐贈收入,睿泰齒輪企業有限公司,53820203,10000,,是,臺中市東區振
18,103/11/24,營利事業捐贈收入,謦田五金有限公司,80210921,50000,,是,臺中市東區早
